RecordId,RecordType,Type,SubType,Category,Task,TaskStatus,SLADesc,DUE,FIrstPlanReviewedDate
16-05501,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,05/17/2016,05/20/2016
16-05501,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/17/2016,05/09/2016
16-05504,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Building Review,Approved,Small Comm - 10 Days,05/18/2016,05/23/2016
16-05504,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Fire Review,Approved,Small Comm - 10 Days,05/18/2016,05/09/2016
16-05504,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Zoning Review,Hold for Revision,Small Comm - 10 Days,05/18/2016,05/20/2016
16-05509,Res:Addition,Residential,Existing Building,Addition,Building Review,Approved,Residential - 10 Days,05/18/2016,05/23/2016
16-05509,Res:Addition,Residential,Existing Building,Addition,Zoning Review,Approved,Residential - 10 Days,05/18/2016,05/04/2016
16-05512,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,05/18/2016,05/23/2016
16-05512,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/18/2016,05/10/2016
16-05514,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/18/2016,05/19/2016
16-05515,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/18/2016,05/20/2016
16-05515,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/18/2016,05/05/2016
16-05517,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/18/2016,05/19/2016
16-05519,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/18/2016,05/20/2016
16-05520,Com: Retaining Wall,Commercial,Accessory Structure,Retaining Wall,Building Review,Approved,Small Comm - 10 Days,05/18/2016,05/23/2016
16-05522,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Residential - 10 Days,05/18/2016,05/12/2016
16-05522,Res: New SFD,Residential,New Building,SFD,Building Review,Hold for Revision,Residential - 10 Days,05/18/2016,06/21/2016
16-05532,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Addressing,Approved - No Fees,Small Comm - 10 Days,05/18/2016,05/19/2016
16-05532,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Building Review,Approved,Small Comm - 10 Days,05/18/2016,06/02/2016
16-05545,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/19/2016,05/25/2016
16-05545,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/19/2016,07/26/2016
16-05545,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Approved,Small Comm - 10 Days,05/19/2016,05/10/2016
16-05549,Res: Solar,Residential,Accessory Structure,Solar Array,Building Review,Approved,Residential - 10 Days,05/19/2016,05/20/2016
16-05563,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/19/2016,05/05/2016
16-05566,Com: Bldg,Commercial,New Building,Single Tenant,Addressing,Approved - Fees Due,Std Level I Comm  - 21 Days,06/03/2016,05/11/2016
16-05566,Com: Bldg,Commercial,New Building,Single Tenant,Building Review,Hold for Revision,Std Level I Comm  - 21 Days,06/03/2016,06/01/2016
16-05566,Com: Bldg,Commercial,New Building,Single Tenant,Fire Review,Approved,Std Level I Comm  - 21 Days,06/03/2016,05/11/2016
16-05567,Res: Retaining Wall,Residential,Accessory Structure,Retaining Wall,Building Review,Approved,Residential - 10 Days,05/19/2016,05/24/2016
16-05575,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/19/2016,05/24/2016
16-05576,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/09/2016,05/12/2016
16-05576,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/09/2016,05/06/2016
16-05577,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/19/2016,05/24/2016
16-05578,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/19/2016,05/06/2016
16-05580,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - No Fees,Small Comm - 10 Days,05/19/2016,05/19/2016
16-05580,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/19/2016,05/24/2016
16-05590,Mfg. Home in Park,Residential,Manufactured Home,Existing Park,Building Review,Approved,Quick Touch - 3 Days,05/11/2016,05/06/2016
16-05592,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/20/2016,05/24/2016
16-05596,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/20/2016,05/27/2016
16-05599,Res: Retaining Wall,Residential,Accessory Structure,Retaining Wall,Building Review,Approved,Quick Touch - 3 Days,05/11/2016,05/24/2016
16-05599,Res: Retaining Wall,Residential,Accessory Structure,Retaining Wall,Zoning Review,Approved,Quick Touch - 3 Days,05/11/2016,05/24/2016
16-05601,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Plan Review Waiver,Residential - 10 Days,05/20/2016,05/06/2016
16-05601,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/20/2016,05/09/2016
16-05621,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/10/2016,05/09/2016
16-05621,Res: New SFD,Residential,New Building,SFD,Zoning Review,Approved,Res. Waiver - 2 Days,05/10/2016,05/09/2016
16-05623,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/20/2016,05/25/2016
16-05623,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/20/2016,05/10/2016
16-05624,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/10/2016,05/09/2016
16-05625,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Building Review,Approved,Small Comm - 10 Days,05/20/2016,05/24/2016
16-05625,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Fire Review,Approved,Small Comm - 10 Days,05/20/2016,05/12/2016
16-05625,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Zoning Review,Approved,Small Comm - 10 Days,05/20/2016,05/12/2016
16-05627,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/10/2016,05/18/2016
16-05627,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Res. Waiver - 2 Days,05/10/2016,05/09/2016
16-05641,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/23/2016,05/25/2016
16-05641,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/23/2016,05/11/2016
16-05646,Res: Alter & Add,Residential,Existing Building,Alterations w Addition,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/11/2016,05/09/2016
16-05646,Res: Alter & Add,Residential,Existing Building,Alterations w Addition,Zoning Review,Approved,Res. Waiver - 2 Days,05/11/2016,05/10/2016
16-05655,Res: Alter & Add,Residential,Existing Building,Alterations w Addition,Building Review,Approved,Res. Waiver - 2 Days,05/11/2016,05/09/2016
16-05655,Res: Alter & Add,Residential,Existing Building,Alterations w Addition,Zoning Review,Approved,Res. Waiver - 2 Days,05/11/2016,05/10/2016
16-05660,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Residential - 10 Days,05/23/2016,05/25/2016
16-05661,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/23/2016,05/23/2016
16-05661,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/23/2016,05/11/2016
16-05665,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/11/2016,05/09/2016
16-05676,Com: Reroof,Commercial,Existing Building,Reroof,Building Review,Approved,Quick Touch - 3 Days,05/12/2016,05/10/2016
16-05688,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/24/2016,05/25/2016
16-05688,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/24/2016,05/11/2016
16-05691,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/13/2016,05/25/2016
16-05691,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/13/2016,05/12/2016
16-05691,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Approved,Quick Touch - 3 Days,05/13/2016,05/11/2016
16-05694,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/13/2016,05/25/2016
16-05694,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/13/2016,05/12/2016
16-05694,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Approved,Quick Touch - 3 Days,05/13/2016,05/11/2016
16-05700,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Building Review,Approved,Small Comm - 10 Days,05/24/2016,06/01/2016
16-05700,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Fire Review,Approved,Small Comm - 10 Days,05/24/2016,06/01/2016
16-05701,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Residential - 10 Days,05/24/2016,05/25/2016
16-05708,Res: New SFD,Residential,New Building,SFD,Addressing,Hold for Revision,Res. Waiver - 2 Days,05/12/2016,05/17/2016
16-05708,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/12/2016,05/11/2016
16-05718,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - No Fees,Small Comm - 10 Days,05/24/2016,05/17/2016
16-05718,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/24/2016,05/27/2016
16-05718,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/24/2016,06/17/2016
16-05726,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Hold for Revision,Residential - 10 Days,05/25/2016,05/31/2016
16-05740,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/16/2016,05/27/2016
16-05760,Com: Bldg,Commercial,New Building,Single Tenant,Building Review,Hold for Revision,Std Level I Comm  - 21 Days,06/09/2016,06/08/2016
16-05760,Com: Bldg,Commercial,New Building,Single Tenant,Fire Review,Approved,Std Level I Comm  - 21 Days,06/09/2016,05/16/2016
16-05771,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Quick Touch - 3 Days,05/16/2016,05/12/2016
16-05775,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Res. Waiver - 2 Days,05/13/2016,05/11/2016
16-05780,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/13/2016,05/19/2016
16-05783,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/13/2016,05/12/2016
16-05783,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/13/2016,05/12/2016
16-05786,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Residential - 10 Days,05/25/2016,05/19/2016
16-05786,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Residential - 10 Days,05/25/2016,05/31/2016
16-05789,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Building Review,Approved,Quick Touch - 3 Days,05/17/2016,05/12/2016
16-05789,Com: Landlord Impr,Commercial,Existing Building,Landlord Improvements,Fire Review,Approved,Quick Touch - 3 Days,05/17/2016,05/12/2016
16-05793,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/17/2016,05/12/2016
16-05793,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/17/2016,05/19/2016
16-05806,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,05/26/2016,06/01/2016
16-05806,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/26/2016,06/01/2016
16-05824,Com: Bldg,Commercial,New Building,Single Tenant,Addressing,Approved - Fees Due,Std Level II or III Comm - 45 Days,07/14/2016,05/31/2016
16-05824,Com: Bldg,Commercial,New Building,Single Tenant,Building Review,Hold for Revision,Std Level II or III Comm - 45 Days,07/14/2016,07/05/2016
16-05824,Com: Bldg,Commercial,New Building,Single Tenant,Fire Review,Approved,Std Level II or III Comm - 45 Days,07/14/2016,05/18/2016
16-05827,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/16/2016,05/16/2016
16-05827,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Res. Waiver - 2 Days,05/16/2016,05/16/2016
16-05830,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/26/2016,06/02/2016
16-05830,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved with Conditions,Residential - 10 Days,05/26/2016,06/14/2016
16-05832,Res: Alter & Add,Residential,Existing Building,Alterations w Addition,Building Review,Approved,Residential - 10 Days,05/26/2016,05/31/2016
16-05834,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Approved,Res. Waiver - 2 Days,05/17/2016,05/16/2016
16-05851,Res: Detached Bldg,Residential,Accessory Structure,Other,Building Review,Approved,Residential - 10 Days,05/27/2016,05/31/2016
16-05860,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Quick Touch - 3 Days,05/18/2016,05/31/2016
16-05860,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Quick Touch - 3 Days,05/18/2016,05/16/2016
16-05861,Com: Reroof,Commercial,Existing Building,Reroof,Building Review,Approved,Quick Touch - 3 Days,05/18/2016,05/27/2016
16-05861,Com: Reroof,Commercial,Existing Building,Reroof,Fire Review,Approved,Quick Touch - 3 Days,05/18/2016,06/06/2016
16-05870,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Residential - 10 Days,05/27/2016,05/31/2016
16-05872,Res: New SFD,Residential,New Building,SFD,Building Review,Approved,Quick Touch - 3 Days,05/18/2016,05/27/2016
16-05883,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/18/2016,05/16/2016
16-05886,Res:Addition,Residential,Existing Building,Addition,Addressing,Approved - No Fees,Res. Waiver - 2 Days,05/18/2016,05/19/2016
16-05886,Res:Addition,Residential,Existing Building,Addition,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/18/2016,05/16/2016
16-05886,Res:Addition,Residential,Existing Building,Addition,Zoning Review,Disapproved,Res. Waiver - 2 Days,05/18/2016,05/24/2016
16-05895,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/30/2016,05/31/2016
16-05895,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,05/30/2016,05/17/2016
16-05896,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Quick Touch - 3 Days,05/19/2016,06/08/2016
16-05896,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Quick Touch - 3 Days,05/19/2016,05/20/2016
16-05905,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - No Fees,Quick Touch - 3 Days,05/19/2016,05/23/2016
16-05905,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved with Conditions,Quick Touch - 3 Days,05/19/2016,06/02/2016
16-05905,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/19/2016,05/24/2016
16-05913,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - No Fees,Quick Touch - 3 Days,05/19/2016,05/23/2016
16-05913,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Quick Touch - 3 Days,05/19/2016,05/31/2016
16-05913,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Quick Touch - 3 Days,05/19/2016,05/18/2016
16-05919,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/18/2016,05/17/2016
16-05928,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/18/2016,05/17/2016
16-05946,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,05/31/2016,06/01/2016
16-05946,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/31/2016,05/23/2016
16-05949,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Building Review,Hold for Revision,Small Comm - 10 Days,05/31/2016,05/27/2016
16-05950,Com: Detatched Bldg,Commercial,Accessory Structure,Other,Building Review,Hold for Revision,Small Comm - 10 Days,05/31/2016,05/27/2016
16-05953,Res: New SFD,Residential,New Building,SFD,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/19/2016,05/18/2016
16-05956,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - No Fees,Small Comm - 10 Days,05/31/2016,05/26/2016
16-05956,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,05/31/2016,06/02/2016
16-05956,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/31/2016,06/08/2016
16-05956,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Approved,Small Comm - 10 Days,05/31/2016,05/26/2016
16-05960,Res: Detached Bldg,Residential,Accessory Structure,Other,Addressing,Approved - Fees Due,Res. Waiver - 2 Days,05/19/2016,05/23/2016
16-05960,Res: Detached Bldg,Residential,Accessory Structure,Other,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/19/2016,05/18/2016
16-05964,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/31/2016,06/02/2016
16-05964,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/31/2016,05/19/2016
16-05964,Com: Alterations,Commercial,Existing Building,Alterations,Zoning Review,Approved,Small Comm - 10 Days,05/31/2016,05/26/2016
16-05965,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Small Comm - 10 Days,05/31/2016,06/02/2016
16-05965,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Approved,Small Comm - 10 Days,05/31/2016,05/20/2016
16-05969,Res: Alterations,Residential,Existing Building,Alterations,Zoning Review,Approved,Residential - 10 Days,05/31/2016,05/20/2016
16-05973,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,05/31/2016,05/31/2016
16-05979,Com: Alterations,Commercial,Existing Building,Alterations,Addressing,Approved - Fees Due,Std Level I Comm  - 21 Days,06/16/2016,05/26/2016
16-05979,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Hold for Revision,Std Level I Comm  - 21 Days,06/16/2016,05/24/2016
16-05979,Com: Alterations,Commercial,Existing Building,Alterations,Fire Review,Hold for Revision,Std Level I Comm  - 21 Days,06/16/2016,05/24/2016
16-05981,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/20/2016,05/19/2016
16-05981,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Res. Waiver - 2 Days,05/20/2016,05/24/2016
16-05983,Res:Addition,Residential,Existing Building,Addition,Building Review,Approved,Residential - 10 Days,06/01/2016,06/01/2016
16-05983,Res:Addition,Residential,Existing Building,Addition,Zoning Review,Approved,Residential - 10 Days,06/01/2016,05/20/2016
16-05986,Res: Deck,Residential,Accessory Structure,Deck,Building Review,Approved,Residential - 10 Days,06/01/2016,06/01/2016
16-05986,Res: Deck,Residential,Accessory Structure,Deck,Zoning Review,Approved,Residential - 10 Days,06/01/2016,05/25/2016
16-05991,Res: New SFD,Residential,New Building,SFD,Addressing,Approved - Fees Due,Residential - 10 Days,06/01/2016,05/23/2016
16-05991,Res: New SFD,Residential,New Building,SFD,Building Review,Approved with Conditions,Residential - 10 Days,06/01/2016,06/03/2016
16-06005,Res:Addition,Residential,Existing Building,Addition,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/20/2016,05/19/2016
16-06005,Res:Addition,Residential,Existing Building,Addition,Zoning Review,Approved,Res. Waiver - 2 Days,05/20/2016,05/25/2016
16-06010,Res: Alterations,Residential,Existing Building,Alterations,Building Review,Plan Review Waiver,Res. Waiver - 2 Days,05/20/2016,05/19/2016
16-06013,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Addressing,Approved - No Fees,Small Comm - 10 Days,06/01/2016,05/23/2016
16-06013,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Building Review,Approved,Small Comm - 10 Days,06/01/2016,06/02/2016
16-06013,Com: First Upfit,Commercial,New Building,Upfit First Occupancy,Fire Review,Approved,Small Comm - 10 Days,06/01/2016,05/20/2016
16-06014,Com: Bldg,Commercial,New Building,Single Tenant,Addressing,Approved - No Fees,Std Level II or III Comm - 45 Days,07/20/2016,05/23/2016
16-06014,Com: Bldg,Commercial,New Building,Single Tenant,Building Review,Approved with Conditions,Std Level II or III Comm - 45 Days,07/20/2016,06/22/2016
16-06014,Com: Bldg,Commercial,New Building,Single Tenant,Fire Review,Approved,Std Level II or III Comm - 45 Days,07/20/2016,05/25/2016
16-06015,Com: Alterations,Commercial,Existing Building,Alterations,Building Review,Approved,Small Comm - 10 Days,06/01/2016,06/06/2016
