SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3,B1_WORK_DESC,REC_DATE,REC_FUL_NAM,REC_STATUS
ASHEVILLE,15CAP,00000,00AA2,"REMODEL OF EXISTING BASEMENT INTO FINISHED LIVING SPACE FOR PERSONAL USE FOR MICHAEL & SOVITA SCHNEIDER. REC AMENDMENT LISTING MECHANICAL AND ELECTRICAL SUBCONTRACTORS. ALSO ADDING WINDOWS TO BATHROOM AND OFFICE, AND REPLACING ADDITIONAL WINDOWS THROUGHOUT THE HOUSE.  SOME OF THESE ARE LIKE FOR LIKE REPLACEMENTS, OTHERS ARE ENLARGING THE CURRENT WINDOWS, SOME ARE REPLACING WINDOS WITH SLIDING DOORS.; REC AMENDMENT TO DEMO OLD ROOF, REFRAM AND REPLACE WITH NEW; RAISING EXTERIOR WALLS TO MEET NEW ROOFLINE; , INSTALL HEADERS FOR WEST WALL SLIDERS & FIX GLASS, POUR CONCRETE FOR NEW FRONT ENTRANCE; DEMO & REBUILD UPPER DECK - EXTENDED TO 10 FEET), BUILD NEW LOWER DECK (14"" DEPTH); BUILD OVERHANG UBOVE NEW DOOR ENTRY ON SOUTH WEST CORNER; INSTALL VERICAL BEAM ROOF SUPPORT AS PER ENGINEER'S DRAWING AND HORIZONTAL SUPPORT BEAM BY STAIRWELL; REFRAME MAIN FLOOR AT REMOVED ARA AROUND FIREPLACE AND IN BATHROOMS ON MAIN FLOOR",2016-03-02 11:47:48.017,SSALYER,A
ASHEVILLE,15CAP,00000,00ANL,Please see attached.,2016-03-11 13:54:31.797,PUBLICUSER87,A
ASHEVILLE,15CAP,00000,00B65,MOVING ONE (1) TIN 100 SQ FT SHED FROM AND AWAY FROM PROPERTY LINE  PER CASE # 15-13160S OF 10/07/15,2016-01-20 09:09:37.447,GMISER,A
ASHEVILLE,15CAP,00000,00BJO,NEW 16'X16' BACK DECK AND 3 1/2' X 6' FRONT PORCH ROOF OVER EXISTING PORCH FOR ROBERT A. CARNAHAN,2016-03-04 12:02:24.820,ACARROLL,A
ASHEVILLE,15CAP,00000,00BOR,Replace existing gas furnace and duct on basement,2016-01-28 12:50:18.340,PUBLICUSER600,A
ASHEVILLE,15CAP,00000,00CB6,"waiver - REMODEL (2) EXISTING BATHROOMS AND KITCHEN, ADD (1) BATH IN INTERIOR ATTIC SPACE OF EXISTING ATTACHED GARAGE, FOR KELLAN AND SUZANNE WARREN",2016-03-02 09:49:58.697,ACARROLL,A
ASHEVILLE,15CAP,00000,00CCU,waiver - RENOVATION OF  EXISTING GARAGE TO CREATE PERSONAL OFFICE FOR CHARLES OYSLER,2016-01-15 15:40:03.860,SSALYER,A
ASHEVILLE,15CAP,00000,00CI3,"waiver - REROOF (REPLACE SHINGLES), EVE FASCIA REPAIR, REPLACE KITCHEN CABINETS, REPAINT, REFINISH FLOORS, ADD 1/2 BATH (WHERE PANTRY WAS), FOR SABA HOLDING GROUP. REC AMENDMENT TO REWIRE HOUSE, CHANGE PANEL, UPGRADE SERVICE ANDD EXHAUST FANS IN BATHS.",2016-02-03 12:24:31.397,ACARROLL,A
ASHEVILLE,15CAP,00000,00CM9,"HILTON GARDEN INN, NEW CONSTRUCTION FOR HOTEL, REC AMENDMENT, ARCHITECTURAL, MECHANICAL, ELECTRICAL, AND PLUMBING REVISIONS",2016-07-07 15:56:57.373,SCARVER,A
ASHEVILLE,15CAP,00000,00CP5,"RE-ROOF(REPLACE EXISTING TPO WITH NEW TPO MEMBRANE), REPLACE DROP CEILING IN DINING AREA, INSTALL REAR DOOR- NOT AN EXIT, REWORK SOME WIRING DUE TO REPLACEMENT OF DROP CEILING FOR THE ADMIRAL, REC AMENDMENT, RAISE GAS LINE APPROX. 12"" SO IT IS CLEAR OF ROOF",2016-02-12 09:43:55.007,ACARROLL,A
ASHEVILLE,15CAP,00000,00CPQ,"NEW (3) STORY 12 UNIT APARTMENT BUILDING OVER SINGLE STORY PARKING GARAGE FOR GIVENS ESTATES CREEKSIDE HOMES PHASE III, REF.LEVEL III 15-14201PZ AND DEMO 15-14267 FOR GIVENS ESTATES CREEKSIDE HOMES PHASE III",2016-09-01 16:17:42.820,ACARROLL,A
ASHEVILLE,15EST,00000,00743,Replacing air-conditioning unit for insurance office.,2017-04-25 16:16:36.773,PUBLICUSER117,NULL
ASHEVILLE,15EST,00000,02597,Drain and Disconnect existing electric 40 gallon electric low boy water heater.
Install a new 40 gallon electric low boy water heater on concrete cap blocks. 
Install a new 2 gallon expansion tank and shutoff.
Install a new main shutoff and pressure reducing valve on the main water line.,2017-01-18 17:48:53.047,PUBLICUSER199,NULL
ASHEVILLE,15EST,00000,03356,Install tankless water heater and electrical. Need combo permit for plumbing/electrical,2016-12-28 10:33:21.023,PUBLICUSER258,NULL
ASHEVILLE,15EST,00000,03357,Install tankless water heater with electrical.,2016-12-27 15:06:32.263,PUBLICUSER258,NULL
ASHEVILLE,16CAP,00000,00001,"REPLACE PROPANE GAS WITH NEW TRANE GAS FURNACE, REPLACE OLD AC WITH NEW",2016-01-04 08:30:17.903,PUBLICUSER82,A
ASHEVILLE,16CAP,00000,00002,Replacing Heat Pump.,2016-01-04 08:34:30.840,PUBLICUSER117,A
ASHEVILLE,16CAP,00000,00003,INSTALL CIRCUITRY FROM HOUSE TO GARAGE (PERSONAL USE USING HOUSE METER) REPLACE 2 EXHAUST FANS AND 3 LIGHTS IN HOUSE,2016-01-04 08:44:54.167,MLIPE,A
ASHEVILLE,16CAP,00000,00004,REMOVE AND REPLACE EXISTING GAS FURNACE WITH NEW GAS FURNACE AND A/C  INCLUDING ELECTRICAL FOR LOLA SALON UNIT 110;NO EQUIPMENT ON ROOF;,2016-01-04 09:46:50.873,SSALYER,A
ASHEVILLE,16CAP,00000,00005,"ADDITION/RENOVATION TO EXISTING VETERINARY HOSPITAL WAITING AREA AND PROCEDURE ROOMS FOR REACH ANIMAL HOSPITAL; REC AMENDMENT TO EXISTING SEWER TIE IN FROM NEW WORK, REC AMENDMENT, CHANGING TRENCH DRAIN TO INDIVIDUAL FLOOR DRAINS;REC. AMENDMENT ADDING GAS PIPING FOR FURNACES, REC AMENDMENT, CREATE AREA OF REFUGE/DISPOSAL FOR LOWER LEVEL, REROUTE WALK FROM BUILDING TO ISLAND, ADD NEW STAIRS",2016-01-04 10:00:47.040,ACARROLL,A
ASHEVILLE,16CAP,00000,00006,ADDITION/RENOVATION TO EXISTING VETERINARY HOSPITAL WAITING AREA AND PROCEDURE ROOMS FOR REACH ANIMAL HOSPITAL,2016-01-04 10:09:52.213,ACARROLL,A
ASHEVILLE,16CAP,00000,00007,ADDITION/RENOVATION TO EXISTING VETERINARY HOSPITAL WAITING AREA AND PROCEDURE ROOMS FOR REACH ANIMAL HOSPITAL,2016-01-04 10:09:55.503,ACARROLL,A
ASHEVILLE,16CAP,00000,00008,ADDITION/RENOVATION TO EXISTING VETERINARY HOSPITAL WAITING AREA AND PROCEDURE ROOMS FOR REACH ANIMAL HOSPITAL,2016-01-04 10:09:57.947,ACARROLL,A
ASHEVILLE,16CAP,00000,00009,ADDITION/RENOVATION TO EXISTING VETERINARY HOSPITAL WAITING AREA AND PROCEDURE ROOMS FOR REACH ANIMAL HOSPITAL,2016-01-04 10:10:00.573,ACARROLL,A
ASHEVILLE,16CAP,00000,0000A,ADDITION OF A 10'X10' UTILITY SHED BEHIND EXISTING HOME FOR TONY TURNER AND PAIGE HARRINGTON,2016-01-04 10:23:01.397,ACARROLL,A
ASHEVILLE,16CAP,00000,0000B,"REMOVE AND REPLACE DRYWALL-WALLBOARD AND INSULATION, 1 OR 2 DOORS AND 1 JAM DUE TO FLOODING IN BUILDING FROM RAIN;WORK IS OWNER REPAIR (SWEETEN CREEK BUSINESS PARK)TENANT HAS MOVED OUT, SPACE WILL BE VACANT;",2016-01-04 10:30:05.993,SSALYER,A
ASHEVILLE,16CAP,00000,0000C,REPLACE CURRENT NG FURNAEC WITH 3 TON 14 SEER AC AND 96% NG FURNACE,2016-01-04 10:34:57.043,MLIPE,A
ASHEVILLE,16CAP,00000,0000D,"REMOVE AND REPLACE DRYWALL-WALLBOARD AND INSULATION, 1 OR 2 DOORS AND 1 JAM DUE TO FLOODING IN BUILDING FROM RAIN;WORK IS OWNER REPAIR (SWEETEN CREEK BUSINESS PARK)TENANT HAS MOVED OUT, SPACE WILL BE VACANT;",2016-01-04 10:35:23.573,SSALYER,A
ASHEVILLE,16CAP,00000,0000E,"REMOVE AND REPLACE DRYWALL-WALLBOARD AND INSULATION, 1 OR 2 DOORS AND 1 JAM DUE TO FLOODING IN BUILDING FROM RAIN;WORK IS OWNER REPAIR (SWEETEN CREEK BUSINESS PARK)TENANT HAS MOVED OUT, SPACE WILL BE VACANT;",2016-01-04 10:35:16.577,SSALYER,A
ASHEVILLE,16CAP,00000,0000F,SHEET ROCK GARAGE AREA AND INSULATE TO CODE.  REPLACE COPPER PIPING.  REPLACE WIRING DESTROYED BY MICE. REC AMENDMENT TO ADD MECHANICAL ONTO PERMIT FOR NEW HVAC UNIT,2016-01-04 10:38:06.473,ATESNER,A
ASHEVILLE,16CAP,00000,0000G,"NEW 3 STORY, STEEL FRAMED MIDDLE SCHOOL FOR ASHEVILLE CITY SCHOOLS; LOW VOLTAGE IN JUNCTION WITH HVAC EQUIPMENT AND CONECT THE LOAD SIDE FOR HVAC EQUIPMENT",2016-01-04 10:38:47.077,MLIPE,A
ASHEVILLE,16CAP,00000,0000H,"NEW 3 STORY, STEEL FRAMED MIDDLE SCHOOL FOR ASHEVILLE CITY SCHOOLS; LOW VOLTAGE IN JUNCTION WITH HVAC EQUIPMENT AND CONECT THE LOAD SIDE FOR HVAC EQUIPMENT",2016-01-04 10:39:37.947,MLIPE,A
ASHEVILLE,16CAP,00000,0000I,Permit 16-00014 requires a Flood Plain Development Permit,2016-01-04 10:40:33.860,ADMIN,A
ASHEVILLE,16CAP,00000,0000J,waiver - REMODEL EXISTING KITCHEN AND POWDER ROOM AND ADD 3 WINDOWS (1-KITCHEN & 2-LIVINGROOM) FOR ANDREW & MOLLIE LAMMERS,2016-01-04 10:59:21.573,SSALYER,A
ASHEVILLE,16CAP,00000,0000K,waiver - REMODEL EXISTING KITCHEN AND POWDER ROOM AND ADD 3 WINDOWS (1-KITCHEN & 2-LIVINGROOM) FOR ANDREW & MOLLIE LAMMERS,2016-01-04 11:02:32.523,SSALYER,A
ASHEVILLE,16CAP,00000,0000L,waiver - REMODEL EXISTING KITCHEN AND POWDER ROOM AND ADD 3 WINDOWS (1-KITCHEN & 2-LIVINGROOM) FOR ANDREW & MOLLIE LAMMERS,2016-01-04 11:02:35.313,SSALYER,A
ASHEVILLE,16CAP,00000,0000M,waiver - REMODEL EXISTING KITCHEN AND POWDER ROOM AND ADD 3 WINDOWS (1-KITCHEN & 2-LIVINGROOM) FOR ANDREW & MOLLIE LAMMERS,2016-01-04 11:02:37.717,SSALYER,A
ASHEVILLE,16CAP,00000,0000N,Install Mini Split System and Re-connect Electric,2016-01-04 11:31:46.877,PUBLICUSER375,A
ASHEVILLE,16CAP,00000,0000O,"INSTALL UNDERGROUND PLUMBING ONLY, LANDLORD IMPROVEMENTS, NOT FOR OCCUPANCY FOR MOUNTAIN HOUSING OPPORTUNITIES",2016-01-04 11:47:05.853,ACARROLL,A
ASHEVILLE,16CAP,00000,0000P,"INSTALL UNDERGROUND PLUMBING ONLY, LANDLORD IMPROVEMENTS, NOT FOR OCCUPANCY FOR MOUNTAIN HOUSING OPPORTUNITIES",2016-01-04 12:00:10.807,ACARROLL,A
ASHEVILLE,16CAP,00000,0000Q,RESEARCH REQUEST FOR LEANN BOUND FOR VERIFICATIUON OF A LEGAL NON-CONFORMING LOT,2016-01-04 12:03:09.687,MLIPE,A
ASHEVILLE,16CAP,00000,0000R,FACE CHANGE ON EXISTING FREESTANDING SIGN AND NEW CHANNEL LETTER ILLUMINATED ON BUILDING  FOR NATIONWIDE; REC AMENDMENT TO CHANGE SIZE OF BUILDING SIGN,2016-01-04 12:07:18.433,SSALYER,A
ASHEVILLE,16CAP,00000,0000S,FACE CHANGE ON EXISTING FREESTANDING SIGN AND NEW CHANNEL LETTER ILLUMINATED ON BUILDING  FOR NATIONWIDE;,2016-01-04 12:23:58.013,SSALYER,A
ASHEVILLE,16CAP,00000,0000T,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:28:17.043,MLIPE,A
ASHEVILLE,16CAP,00000,0000U,"COMMERCIAL INTERIOR REMOVAL AND REPLACEMNT OF  SHEETROCK, FLOOR FINISH AND PAINT DUE FLOOD WATER DAMAGE AT JBL COMMUNICATIONS",2016-01-04 12:38:48.643,SSALYER,A
ASHEVILLE,16CAP,00000,0000V,"COMMERCIAL INTERIOR REMOVAL AND REPLACEMNT OF  SHEETROCK, FLOOR FINISH AND PAINT DUE FLOOD WATER DAMAGE AT JBL COMMUNICATIONS",2016-01-04 12:42:23.420,SSALYER,A
ASHEVILLE,16CAP,00000,0000W,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:43:51.630,MLIPE,A
ASHEVILLE,16CAP,00000,0000X,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:43:53.770,MLIPE,A
ASHEVILLE,16CAP,00000,0000Y,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:43:56.287,MLIPE,A
ASHEVILLE,16CAP,00000,0000Z,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:43:58.443,MLIPE,A
ASHEVILLE,16CAP,00000,00010,NEW SINGLE FAMILY  HOME; PRE-CAST CONCRETE PANEL AND SIP PANEL WALLS AND ROOF FOR FLIPPEN & ALLEN RESIDENCE,2016-01-04 12:44:00.487,MLIPE,A
ASHEVILLE,16CAP,00000,00011,Permit 16-00030 requires a Flood Plain Development Permit,2016-01-04 12:45:46.250,ADMIN,A
ASHEVILLE,16CAP,00000,00012,replace the water line from the meter to the building,2016-01-04 13:38:37.783,PUBLICUSER656,A
ASHEVILLE,16CAP,00000,00013,"TEMPORARY BANNER ON GRASS IN FRONT OF STORE, 1/15/16 TO 3/1/16  AND 10/1/16 TO 10/15/16 FOR ANYTIME FITNESS",2016-01-04 13:47:25.663,ACARROLL,A
ASHEVILLE,16CAP,00000,00014,Replace 80' of water line.,2016-01-04 14:17:06.917,PUBLICUSER251,A
ASHEVILLE,16CAP,00000,00015,COMMERCIAL OCCUPANCY AND ABC SUBMITTAL FOR BRIANNA'S IRISH PUB;PAINTING ONLY WORK TO BE DONE;,2016-01-04 14:34:46.377,SSALYER,A
ASHEVILLE,16CAP,00000,00016,COMMERCIAL OCCUPANCY AND ABC SUBMITTAL FOR BRIANNA'S IRISH PUB;PAINTING ONLY WORK TO BE DONE;,2016-01-04 14:36:49.463,SSALYER,A
ASHEVILLE,16CAP,00000,00017,SWO at the Olive Garden at 121 tunnel RD for a re roof without a permit. $100 penalty,2016-01-04 15:26:45.283,ACARROLL,A
ASHEVILLE,16CAP,00000,00018,Change out of existing furnace,2016-01-04 15:34:30.310,PUBLICUSER547,A
ASHEVILLE,16CAP,00000,00019,"waiver - REMODELING KITCHEN, OPENING A WALL, PUTTING IN A POCKET DOOR FOR CHANA AND NANCY ROBBINS; rec amendment to add ventless heater on closed porch",2016-01-04 15:43:43.590,ACARROLL,A
ASHEVILLE,16CAP,00000,0001A,"install 2 ton Heat pump, Replace some ductwork, new electrical to equipment",2016-01-04 15:47:39.287,PUBLICUSER107,A
ASHEVILLE,16CAP,00000,0001B,"waiver - REMODELING KITCHEN, OPENING A WALL, PUTTING IN A POCKET DOOR FOR CHANA AND NANCY ROBBINS",2016-01-04 15:50:21.197,ACARROLL,A
ASHEVILLE,16CAP,00000,0001C,"waiver - REMODELING KITCHEN, OPENING A WALL, PUTTING IN A POCKET DOOR FOR CHANA AND NANCY ROBBINS",2016-01-04 15:50:24.287,ACARROLL,A
ASHEVILLE,16CAP,00000,0001D,"waiver - REMODELING KITCHEN, OPENING A WALL, PUTTING IN A POCKET DOOR FOR CHANA AND NANCY ROBBINS",2016-01-04 15:50:27.740,ACARROLL,A
ASHEVILLE,16CAP,00000,0001E,NEW WAREHOUSE BUILDING WITH OFFICES FOR 88 DEVELOPMENT LLC; GAS PIPING FOR FURNACE AND RADIANT CEILING HEATER,2016-01-04 16:37:10.147,MLIPE,A
ASHEVILLE,16CAP,00000,0001F,"REPLACING SUB FLOOR AND ADDING FLOATING FLOOR, PATCHING DAMAGED DRYWALL FROM CABINET REMOVAL, PAINTING WALLS, REMOVED SINKS, OCCUPANCY FOR LIBERTY TAX RETURNS",2016-01-04 16:40:57.957,ACARROLL,A
ASHEVILLE,16CAP,00000,0001G,INITIAL APPLICATION 1/2016,2016-01-04 16:44:36.747,CSHORT,A
ASHEVILLE,16CAP,00000,0001H,"INSTALL RETROFIT FRAMING MEMBERS AND ISO OVER EXISTING BUR ROOF, ATTACHED TO STRUCTURE; INSTALL NEW METAL ROOF PANELS, WALL PANELS AND GUTTERS FOR OLIVE GARDEN, REF. OPEN ENFORCEMENT CASE 16-00043S",2016-01-04 17:06:29.467,ACARROLL,A
ASHEVILLE,16CAP,00000,0001I,"REPLACING SUB FLOOR AND ADDING FLOATING FLOOR, PATCHING DAMAGED DRYWALL FROM CABINET REMOVAL, PAINTING WALLS, REMOVED SINKS, OCCUPANCY FOR LIBERTY TAX RETURNS",2016-01-05 07:23:54.197,ACARROLL,A
ASHEVILLE,16CAP,00000,0001J,"REPLACING SUB FLOOR AND ADDING FLOATING FLOOR, PATCHING DAMAGED DRYWALL FROM CABINET REMOVAL, PAINTING WALLS, REMOVED SINKS, OCCUPANCY FOR LIBERTY TAX RETURNS",2016-01-05 07:23:57.730,ACARROLL,A
ASHEVILLE,16CAP,00000,0001K,HOMESTAY SUBMITTAL (2 BEDROOMS) FOR CHELSEA LABATE,2016-01-05 08:23:41.020,KAKBAR,A
ASHEVILLE,16CAP,00000,0001L,"INSTALL A 80,000 BTU GAS FURNACE WITH A 3 TON A/C",2016-01-05 09:04:21.973,PUBLICUSER123,A
ASHEVILLE,16CAP,00000,0001M,"MINOR SUBDIVISION OF ORIGINAL TRACT 13,694 SQ FT FOR TOTAL OF TWO LOTS",2016-01-05 09:08:17.847,MLIPE,A
ASHEVILLE,16CAP,00000,0001N,CREATING TWO BEDROOM HOMESTAY FOR KEVIN & RHONDA  GENTRY;NO WORK TO BE DONE;,2016-01-05 10:09:50.443,SSALYER,A
ASHEVILLE,16CAP,00000,0001O,COMMERCIAL CONSTRUCTION OF NEW FIVE STORY 118 GUESTROOM HOTEL WITH LIMITED FOOD SERVICE,2016-01-05 10:17:27.310,ADMIN,A
ASHEVILLE,16CAP,00000,0001P,COMMERCIAL CONSTRUCTION OF NEW FIVE STORY 118 GUESTROOM HOTEL WITH LIMITED FOOD SERVICE,2016-01-05 10:17:28.273,ADMIN,A
ASHEVILLE,16CAP,00000,0001Q,BLEDSOE BUILDING. ROOF TOP UNIT CHANGE OUT.,2016-01-05 10:49:20.257,ATESNER,A
ASHEVILLE,16CAP,00000,0001R,waiver - NEW COVERED DECK WITH ELECTRICAL FOR CEILING FAN AND ELECTRICAL OUTLET ATTACHED TO HOUSE FOR JANE ROBINSON,2016-01-05 10:56:31.107,SSALYER,A
ASHEVILLE,16CAP,00000,0001S,waiver - NEW COVERED DECK WITH ELECTRICAL FOR CEILING FAN AND ELECTRICAL OUTLET ATTACHED TO HOUSE FOR JANE ROBINSON,2016-01-05 11:01:27.053,SSALYER,A
ASHEVILLE,16CAP,00000,0001T,"waiver - REPLACE SOFFIT/GUTTER, PAINT EXTERIOR, REPLACE GARAGE DOOR, RESET LIGHT FIXTURES, REPLACE TRIM AND DRYWALL, PAINT INTERIOR, REF. DEMO PERMIT 15-11275 FOR ELIZABETH HOLLAND",2016-01-05 11:37:15.973,ACARROLL,A
ASHEVILLE,16CAP,00000,0001U,"waiver - REPLACE SOFFIT/GUTTER, PAINT EXTERIOR, REPLACE GARAGE DOOR, RESET LIGHT FIXTURES, REPLACE TRIM AND DRYWALL, PAINT INTERIOR, REF. DEMO PERMIT 15-11275 FOR ELIZABETH HOLLAND",2016-01-05 11:41:51.647,ACARROLL,A
ASHEVILLE,16CAP,00000,0001V,Permit 16-00011 requires a Flood Plain Development Permit,2016-01-05 11:45:06.677,ADMIN,A
ASHEVILLE,16CAP,00000,0001W,COMMERCIAL INTERIOR DEMO OF DRYWALL AND VINYL BASE VCT AND CARPET FOR MISSION REGIONAL TRANSPORT SERVICES DUE TO WATER DAMAGE FROM STORM DRAIN,2016-01-05 12:08:10.810,SSALYER,A
ASHEVILLE,16CAP,00000,0001X,"COMMERCIAL OCCUPANCY, NEW TABLE LAYOUT, NO WORK TO BE DONE, CHANGE OF USE FOR SWEET BUNS;
REC AMENDMENT REVISED SCOPE OF WORK , MOVING COUNTER, NEW KNEE WALL, NEW EQUIPMENT LAYOUT UNDER EXISTING HOOD, NO ELECTRIC OR GAS WORK;AMEND DEMO ELECTRICAL AT (2) HOOD UNITS, DEMO HOODS, INSTALL NEW RECEPTIVLES AT KITCHEN",2016-01-05 12:14:02.247,KAKBAR,A
ASHEVILLE,16CAP,00000,0001Y,2 vehicles in the yard  a yellow Chevrolet school bus and a RV,2016-01-05 12:16:18.330,HGILLIS,A
ASHEVILLE,16CAP,00000,0001Z,"ZONING SUBMITTAL ONLY FOR CORNERSTONE RESTAURANT; NEW PATIO, ENTRY AND WALKWAYS ;",2016-01-05 12:43:21.070,SSALYER,A
ASHEVILLE,16CAP,00000,00020,NEW GAS FURNACE AND AIR CONDITIONER AND NEW DUCT WORK; RUN ELECTRICAL FOR GODREY RESIDENCE,2016-01-05 12:47:06.270,MLIPE,A
ASHEVILLE,16CAP,00000,00021,"RENOVATE EXISTING INTERIOR, ADD COVERED PATIO, CHAPTER 34 FOR SPRINKLER EQUPMENT, ADD RESTROOM FIXTURES & RELOCATE EXISTIMNG BRR, ADD EMERGENCY GAS HEATERS, REUSE HVAC UNITS, ADD FIREPLACES, LEVEL 1 PREVIOUSLY SUBMITTED. rec transmittal form for response to review comments for level 1 site, follow up to meeting with Jennifer",2016-01-05 12:52:13.817,SSALYER,A
ASHEVILLE,16CAP,00000,00022,COMMERCIAL INTERIOR DEMO DUE TO WATER DAMAGE FROM BROKEN WATER FILTER IN KITCHEN FOR REGUS,2016-01-05 13:07:15.120,SSALYER,A
ASHEVILLE,16CAP,00000,00023,wire heating equipment,2016-01-05 13:29:23.817,PUBLICUSER119,A
ASHEVILLE,16CAP,00000,00024,"RENOVATE KITCHEN, RE-FLOOR & REPLACE NEW CABINETS; PULL PANELING ON WALLS & SHEETROCK. REMOVE WALL DIVIDING KITCHEN & DEN; ADD DOUBLE LVL HEADER TO BRACE FOR SAGGING FOR HITCH REMODEL",2016-01-05 13:58:38.807,MLIPE,A
ASHEVILLE,16CAP,00000,00025,"RENOVATE KITCHEN, RE-FLOOR & REPLACE NEW CABINETS; PULL PANELING ON WALLS & SHEETROCK. REMOVE WALL DIVIDING KITCHEN & DEN; ADD DOUBLE LVL HEADER TO BRACE FOR SAGGING FOR HITCH REMODEL",2016-01-05 14:01:41.567,MLIPE,A
ASHEVILLE,16CAP,00000,00026,"RENOVATE KITCHEN, RE-FLOOR & REPLACE NEW CABINETS; PULL PANELING ON WALLS & SHEETROCK. REMOVE WALL DIVIDING KITCHEN & DEN; ADD DOUBLE LVL HEADER TO BRACE FOR SAGGING FOR HITCH REMODEL",2016-01-05 14:01:43.677,MLIPE,A
